Year,Month,Landslide,Rainfall
2000,January,0,3.6
2000,February,0,434
2000,March,0,496
2000,April,0,465
2000,May,0,470.6
2000,June,0,249.4
2000,July,0,1385.7
2000,August,0,697.3
2000,September,0,640.6
2000,October,0,917.6
2000,November,0,51.4
2000,December,0,63.6
2001,January,0,14.6
2001,February,0,39.5
2001,March,0,289.8
2001,April,8,76
2001,May,0,291
2001,June,0,451.4
2001,July,0,1642
2001,August,0,274
2001,September,5,842.2
2001,October,0,97
2001,November,0,61.6
2001,December,0,23.2
2002,January,0,5
2002,February,0,2
2002,March,0,0.6
2002,April,0,71.2
2002,May,0,264.4
2002,June,0,411
2002,July,0,1883.4
2002,August,0,525.6
2002,September,0,301.5
2002,October,0,224.8
2002,November,0,67.3
2002,December,0,10
2003,January,0,0
2003,February,0,25.4
2003,March,0,4.8
2003,April,0,46.8
2003,May,0,662.7
2003,June,16,792.4
2003,July,0,805.9
2003,August,0,1089.4
2003,September,0,303.2
2003,October,0,179.7
2003,November,0,60.4
2003,December,0,4.4
2004,January,0,17
2004,February,0,128.6
2004,March,0,0
2004,April,0,37.8
2004,May,0,428.6
2004,June,0,1400.7
2004,July,0,445.4
2004,August,0,1432.9
2004,September,0,225.6
2004,October,0,42.4
2004,November,0,114.5
2004,December,0,154.9
2005,January,0,0
2005,February,0,0
2005,March,0,54.6
2005,April,0,32
2005,May,0,291
2005,June,0,425.7
2005,July,0,292.4
2005,August,0,690.2
2005,September,0,644.6
2005,October,0,256.6
2005,November,0,55.2
2005,December,0,68
2006,January,0,160.6
2006,February,0,8.8
2006,March,0,38.4
2006,April,0,29.6
2006,May,0,266.5
2006,June,0,188.2
2006,July,0,1769.8
2006,August,0,735.8
2006,September,0,207.6
2006,October,1,316
2006,November,0,72.4
2006,December,0,43.2
2007,January,0,0
2007,February,0,0.6
2007,March,0,31.8
2007,April,0,25.4
2007,May,0,308.6
2007,June,0,368.4
2007,July,0,218.8
2007,August,0,1201.6
2007,September,0,393.8
2007,October,0,410.3
2007,November,0,444.8
2007,December,0,21.6
2008,January,0,24
2008,February,0,97
2008,March,0,78.7
2008,April,0,149.8
2008,May,0,839.7
2008,June,0,307
2008,July,0,681.2
2008,August,0,1869.5
2008,September,13,760.4
2008,October,0,178
2008,November,0,82.6
2008,December,0,0
2009,January,0,7.2
2009,February,0,64.5
2009,March,0,82.9
2009,April,0,407.3
2009,May,0,398.5
2009,June,0,810
2009,July,0,758.4
2009,August,11,1087.7
2009,September,0,516.9
2009,October,96,1981.8
2009,November,0,22.2
2009,December,0,0
2010,January,0,0
2010,February,0,0
2010,March,0,15.3
2010,April,0,148.6
2010,May,0,242.6
2010,June,0,254
2010,July,0,543.7
2010,August,0,536.6
2010,September,0,296.8
2010,October,0,920.1
2010,November,0,226.4
2010,December,0,47.4
2011,January,0,96
2011,February,0,13.8
2011,March,0,93.4
